,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
1588,o562,20,53.6,1,Propriva,Female,4,25
1589,o562,25,54.7,1,Propriva,Female,4,25
1590,o562,30,59.7,1,Propriva,Female,4,25
1591,o562,35,65.4,1,Propriva,Female,4,25
1592,o562,40,71.2,1,Propriva,Female,4,25
1593,o562,45,72.5,2,Propriva,Female,4,25
1594,v991,0,45.0,0,Propriva,Female,10,30
1595,v991,5,49.2,1,Propriva,Female,10,30
1596,v991,10,52.6,1,Propriva,Female,10,30
1597,v991,15,54.6,1,Propriva,Female,10,30
1598,v991,20,57.7,2,Propriva,Female,10,30
1599,v991,25,60.0,2,Propriva,Female,10,30
1600,v991,30,62.7,3,Propriva,Female,10,30
1601,v991,35,63.9,4,Propriva,Female,10,30
1602,v991,40,64.9,4,Propriva,Female,10,30
1603,v991,45,70.2,4,Propriva,Female,10,30
1604,c927,0,45.0,0,Propriva,Female,4,26
1605,c927,5,46.4,0,Propriva,Female,4,26
1606,c927,10,51.0,1,Propriva,Female,4,26
1607,c927,15,53.3,1,Propriva,Female,4,26
1608,c927,20,55.5,1,Propriva,Female,4,26
1609,c927,25,56.5,2,Propriva,Female,4,26
1610,c927,30,60.8,2,Propriva,Female,4,26
1611,c927,35,61.9,3,Propriva,Female,4,26
1612,c927,40,64.2,4,Propriva,Female,4,26
1613,x226,0,45.0,0,Ceftamin,Male,23,28
1614,p438,0,45.0,0,Ceftamin,Female,11,26
1615,p438,5,46.8,0,Ceftamin,Female,11,26
1616,p438,10,50.5,0,Ceftamin,Female,11,26
1617,p438,15,52.2,0,Ceftamin,Female,11,26
1618,p438,20,52.9,0,Ceftamin,Female,11,26
1619,p438,25,54.5,0,Ceftamin,Female,11,26
1620,p438,30,56.4,0,Ceftamin,Female,11,26
1621,p438,35,57.5,1,Ceftamin,Female,11,26
1622,p438,40,59.3,1,Ceftamin,Female,11,26
1623,p438,45,61.4,1,Ceftamin,Female,11,26
1624,b487,0,45.0,0,Ceftamin,Female,6,28
1625,b487,5,46.2,0,Ceftamin,Female,6,28
1626,b487,10,47.7,0,Ceftamin,Female,6,28
1627,b487,15,51.7,0,Ceftamin,Female,6,28
1628,b487,20,53.4,0,Ceftamin,Female,6,28
1629,b487,25,56.1,1,Ceftamin,Female,6,28
1630,o287,0,45.0,0,Ceftamin,Male,2,28
1631,o287,5,45.6,0,Ceftamin,Male,2,28
1632,o287,10,47.4,1,Ceftamin,Male,2,28
1633,o287,15,48.7,1,Ceftamin,Male,2,28
1634,o287,20,50.9,2,Ceftamin,Male,2,28
1635,o287,25,52.1,3,Ceftamin,Male,2,28
1636,o287,30,54.5,3,Ceftamin,Male,2,28
1637,o287,35,55.1,4,Ceftamin,Male,2,28
1638,o287,40,57.2,4,Ceftamin,Male,2,28
1639,o287,45,59.7,4,Ceftamin,Male,2,28
1640,q483,0,45.0,0,Ceftamin,Male,6,26
1641,q483,5,46.8,1,Ceftamin,Male,6,26
1642,q483,10,47.8,1,Ceftamin,Male,6,26
1643,q483,15,48.5,1,Ceftamin,Male,6,26
1644,q483,20,50.2,1,Ceftamin,Male,6,26
1645,q483,25,52.4,1,Ceftamin,Male,6,26
1646,q483,30,55.0,1,Ceftamin,Male,6,26
1647,q483,35,59.3,1,Ceftamin,Male,6,26
1648,q483,40,64.2,1,Ceftamin,Male,6,26
1649,t573,0,45.0,0,Ceftamin,Female,15,27
1650,f345,0,45.0,0,Infubinol,Male,23,26
1651,f345,5,45.6,0,Infubinol,Male,23,26
1652,f345,10,47.2,0,Infubinol,Male,23,26
1653,f345,15,48.4,0,Infubinol,Male,23,26
1654,f345,20,49.6,0,Infubinol,Male,23,26
1655,f345,25,53.1,0,Infubinol,Male,23,26
1656,f345,30,54.4,1,Infubinol,Male,23,26
1657,f345,35,56.5,1,Infubinol,Male,23,26
1658,f345,40,58.3,1,Infubinol,Male,23,26
1659,f345,45,60.9,1,Infubinol,Male,23,26
1660,i334,0,45.0,0,Ramicane,Female,8,20
1661,i334,5,41.0,0,Ramicane,Female,8,20
1662,i334,10,41.6,0,Ramicane,Female,8,20
1663,i334,15,39.2,0,Ramicane,Female,8,20
1664,i334,20,39.7,0,Ramicane,Female,8,20
1665,i334,25,38.2,1,Ramicane,Female,8,20
1666,i334,30,39.0,1,Ramicane,Female,8,20
1667,i334,35,39.8,2,Ramicane,Female,8,20
1668,i334,40,40.4,2,Ramicane,Female,8,20
1669,i334,45,36.4,2,Ramicane,Female,8,20
1670,l264,0,45.0,0,Ketapril,Female,15,30
1671,l264,5,46.7,0,Ketapril,Female,15,30
1672,l264,10,50.7,0,Ketapril,Female,15,30
1673,j246,0,45.0,0,Capomulin,Female,21,21
1674,j246,5,45.6,0,Capomulin,Female,21,21
1675,j246,10,46.4,0,Capomulin,Female,21,21
1676,j246,15,43.3,0,Capomulin,Female,21,21
1677,j246,20,44.0,0,Capomulin,Female,21,21
1678,j246,25,44.6,0,Capomulin,Female,21,21
1679,j246,30,38.0,1,Capomulin,Female,21,21
1680,j246,35,38.8,1,Capomulin,Female,21,21
1681,r554,0,45.0,0,Capomulin,Female,8,17
1682,r554,5,45.8,1,Capomulin,Female,8,17
1683,r554,10,39.0,2,Capomulin,Female,8,17
1684,r554,15,35.5,2,Capomulin,Female,8,17
1685,r554,20,36.0,2,Capomulin,Female,8,17
1686,r554,25,33.9,3,Capomulin,Female,8,17
1687,r554,30,32.7,3,Capomulin,Female,8,17
1688,r554,35,33.1,3,Capomulin,Female,8,17
1689,r554,40,31.8,3,Capomulin,Female,8,17
1690,r554,45,32.4,3,Capomulin,Female,8,17
1691,s185,0,45.0,0,Capomulin,Female,3,17
1692,s185,5,43.9,0,Capomulin,Female,3,17
1693,s185,10,37.6,0,Capomulin,Female,3,17
1694,s185,15,38.2,0,Capomulin,Female,3,17
1695,s185,20,36.9,0,Capomulin,Female,3,17
1696,s185,25,33.9,0,Capomulin,Female,3,17
1697,s185,30,33.0,1,Capomulin,Female,3,17
1698,s185,35,28.3,1,Capomulin,Female,3,17
1699,s185,40,25.5,1,Capomulin,Female,3,17
1700,s185,45,23.3,1,Capomulin,Female,3,17
1701,b742,0,45.0,0,Capomulin,Male,7,21
1702,b742,5,41.5,0,Capomulin,Male,7,21
1703,b742,10,42.0,0,Capomulin,Male,7,21
1704,b742,15,39.5,0,Capomulin,Male,7,21
1705,b742,20,38.0,0,Capomulin,Male,7,21
1706,b742,25,38.6,0,Capomulin,Male,7,21
1707,b742,30,39.2,0,Capomulin,Male,7,21
1708,b742,35,39.8,0,Capomulin,Male,7,21
1709,b742,40,38.3,0,Capomulin,Male,7,21
1710,b742,45,38.9,0,Capomulin,Male,7,21
1711,x401,0,45.0,0,Capomulin,Female,16,15
1712,x401,5,45.5,0,Capomulin,Female,16,15
1713,x401,10,39.1,0,Capomulin,Female,16,15
1714,x401,15,39.8,0,Capomulin,Female,16,15
1715,x401,20,36.1,0,Capomulin,Female,16,15
1716,x401,25,36.6,0,Capomulin,Female,16,15
1717,x401,30,32.9,0,Capomulin,Female,16,15
1718,x401,35,30.2,0,Capomulin,Female,16,15
1719,x401,40,28.2,0,Capomulin,Female,16,15
1720,x401,45,28.5,0,Capomulin,Female,16,15
1721,l509,0,45.0,0,Capomulin,Male,17,21
1722,l509,5,45.9,0,Capomulin,Male,17,21
1723,l509,10,46.8,0,Capomulin,Male,17,21
1724,l509,15,47.5,1,Capomulin,Male,17,21
1725,l509,20,48.1,2,Capomulin,Male,17,21
1726,l509,25,44.0,2,Capomulin,Male,17,21
1727,l509,30,44.7,2,Capomulin,Male,17,21
1728,l509,35,40.2,2,Capomulin,Male,17,21
1729,l509,40,40.8,2,Capomulin,Male,17,21
1730,l509,45,41.5,3,Capomulin,Male,17,21
1731,s710,0,45.0,0,Capomulin,Female,1,23
1732,s710,5,43.2,0,Capomulin,Female,1,23
1733,s710,10,43.7,0,Capomulin,Female,1,23
1734,s710,15,41.8,0,Capomulin,Female,1,23
1735,s710,20,42.6,1,Capomulin,Female,1,23
1736,s710,25,43.1,1,Capomulin,Female,1,23
1737,s710,30,43.6,1,Capomulin,Female,1,23
1738,s710,35,44.2,1,Capomulin,Female,1,23
1739,s710,40,40.2,1,Capomulin,Female,1,23
1740,s710,45,40.7,1,Capomulin,Female,1,23
1741,r157,0,45.0,0,Capomulin,Male,22,25
1742,r157,5,45.6,0,Capomulin,Male,22,25
1743,r157,10,46.1,0,Capomulin,Male,22,25
1744,r157,15,46.5,0,Capomulin,Male,22,25
1745,u364,0,45.0,0,Capomulin,Male,18,17
1746,u364,5,45.8,1,Capomulin,Male,18,17
1747,u364,10,46.6,2,Capomulin,Male,18,17
1748,u364,15,47.2,2,Capomulin,Male,18,17
1749,u364,20,40.3,2,Capomulin,Male,18,17
1750,u364,25,35.5,2,Capomulin,Male,18,17
1751,u364,30,36.0,2,Capomulin,Male,18,17
1752,u364,35,35.5,2,Capomulin,Male,18,17
1753,u364,40,36.0,2,Capomulin,Male,18,17
1754,u364,45,31.0,3,Capomulin,Male,18,17
1755,j119,0,45.0,0,Capomulin,Female,7,23
1756,j119,5,45.8,0,Capomulin,Female,7,23
1757,j119,10,46.4,0,Capomulin,Female,7,23
1758,j119,15,47.3,0,Capomulin,Female,7,23
1759,j119,20,48.2,1,Capomulin,Female,7,23
1760,j119,25,42.4,1,Capomulin,Female,7,23
1761,j119,30,43.0,1,Capomulin,Female,7,23
1762,j119,35,43.8,1,Capomulin,Female,7,23
1763,j119,40,44.6,1,Capomulin,Female,7,23
1764,j119,45,38.1,1,Capomulin,Female,7,23
1765,v923,0,45.0,0,Capomulin,Female,19,21
1766,v923,5,45.7,0,Capomulin,Female,19,21
1767,v923,10,39.8,0,Capomulin,Female,19,21
1768,v923,15,40.5,0,Capomulin,Female,19,21
1769,v923,20,39.6,0,Capomulin,Female,19,21
1770,v923,25,40.2,1,Capomulin,Female,19,21
1771,v923,30,40.8,2,Capomulin,Female,19,21
1772,v923,35,41.4,2,Capomulin,Female,19,21
1773,v923,40,42.2,2,Capomulin,Female,19,21
1774,v923,45,40.7,2,Capomulin,Female,19,21
1775,w914,0,45.0,0,Capomulin,Male,24,21
1776,w914,5,45.9,0,Capomulin,Male,24,21
1777,w914,10,43.2,0,Capomulin,Male,24,21
1778,w914,15,43.7,0,Capomulin,Male,24,21
1779,w914,20,41.1,0,Capomulin,Male,24,21
1780,w914,25,40.3,0,Capomulin,Male,24,21
1781,w914,30,41.0,0,Capomulin,Male,24,21
1782,w914,35,41.7,1,Capomulin,Male,24,21
1783,w914,40,35.6,2,Capomulin,Male,24,21
1784,w914,45,36.0,2,Capomulin,Male,24,21
1785,i738,0,45.0,0,Capomulin,Female,23,20
1786,i738,5,45.6,0,Capomulin,Female,23,20
1787,i738,10,43.4,0,Capomulin,Female,23,20
1788,i738,15,38.0,0,Capomulin,Female,23,20
1789,i738,20,38.5,0,Capomulin,Female,23,20
1790,i738,25,35.0,0,Capomulin,Female,23,20
1791,i738,30,35.6,1,Capomulin,Female,23,20
1792,i738,35,36.2,1,Capomulin,Female,23,20
1793,i738,40,36.8,2,Capomulin,Female,23,20
1794,i738,45,37.3,2,Capomulin,Female,23,20
1795,r944,0,45.0,0,Capomulin,Male,12,25
1796,r944,5,45.7,0,Capomulin,Male,12,25
1797,r944,10,46.5,0,Capomulin,Male,12,25
1798,r944,15,47.4,0,Capomulin,Male,12,25
1799,r944,20,43.2,1,Capomulin,Male,12,25
1800,r944,25,41.1,1,Capomulin,Male,12,25
1801,r944,30,41.7,1,Capomulin,Male,12,25
1802,r944,35,40.4,2,Capomulin,Male,12,25
1803,r944,40,41.0,2,Capomulin,Male,12,25
1804,r944,45,41.6,2,Capomulin,Male,12,25
1805,y793,0,45.0,0,Capomulin,Male,17,17
1806,y793,5,41.0,0,Capomulin,Male,17,17
1807,y793,10,41.6,1,Capomulin,Male,17,17
1808,y793,15,42.3,1,Capomulin,Male,17,17
1809,y793,20,40.7,2,Capomulin,Male,17,17
1810,y793,25,39.0,2,Capomulin,Male,17,17
1811,y793,30,35.7,2,Capomulin,Male,17,17
1812,y793,35,36.3,2,Capomulin,Male,17,17
1813,y793,40,31.5,2,Capomulin,Male,17,17
1814,y793,45,31.9,2,Capomulin,Male,17,17
1815,g316,0,45.0,0,Capomulin,Female,22,22
1816,g316,5,44.0,0,Capomulin,Female,22,22
1817,g316,10,44.5,0,Capomulin,Female,22,22
1818,g316,15,45.2,0,Capomulin,Female,22,22
1819,g316,20,45.9,1,Capomulin,Female,22,22
1820,g316,25,46.8,1,Capomulin,Female,22,22
1821,g316,30,44.2,2,Capomulin,Female,22,22
1822,g316,35,44.7,2,Capomulin,Female,22,22
1823,g316,40,45.6,2,Capomulin,Female,22,22
1824,g316,45,40.2,2,Capomulin,Female,22,22
1825,g288,0,45.0,0,Capomulin,Male,3,19
1826,g288,5,45.8,0,Capomulin,Male,3,19
1827,g288,10,46.3,1,Capomulin,Male,3,19
1828,g288,15,42.2,1,Capomulin,Male,3,19
1829,g288,20,43.0,1,Capomulin,Male,3,19
1830,g288,25,42.4,1,Capomulin,Male,3,19
1831,g288,30,42.9,1,Capomulin,Male,3,19
1832,g288,35,39.0,1,Capomulin,Male,3,19
1833,g288,40,36.4,1,Capomulin,Male,3,19
1834,g288,45,37.1,1,Capomulin,Male,3,19
1835,l897,0,45.0,0,Capomulin,Male,17,19
1836,l897,5,45.5,0,Capomulin,Male,17,19
1837,l897,10,46.2,0,Capomulin,Male,17,19
1838,l897,15,44.1,0,Capomulin,Male,17,19
1839,l897,20,44.8,0,Capomulin,Male,17,19
1840,l897,25,45.4,0,Capomulin,Male,17,19
1841,l897,30,39.4,1,Capomulin,Male,17,19
1842,l897,35,37.7,1,Capomulin,Male,17,19
1843,l897,40,38.3,1,Capomulin,Male,17,19
1844,l897,45,38.8,1,Capomulin,Male,17,19
1845,w150,0,45.0,0,Capomulin,Male,23,23
1846,w150,5,39.2,0,Capomulin,Male,23,23
1847,w150,10,40.0,0,Capomulin,Male,23,23
1848,t565,0,45.0,0,Capomulin,Female,20,17
1849,t565,5,45.9,0,Capomulin,Female,20,17
1850,t565,10,46.7,0,Capomulin,Female,20,17
1851,t565,15,44.4,0,Capomulin,Female,20,17
1852,t565,20,39.1,0,Capomulin,Female,20,17
1853,t565,25,37.3,0,Capomulin,Female,20,17
1854,t565,30,32.9,0,Capomulin,Female,20,17
1855,t565,35,33.5,0,Capomulin,Female,20,17
1856,t565,40,33.9,0,Capomulin,Female,20,17
1857,t565,45,34.5,0,Capomulin,Female,20,17
1858,i557,0,45.0,0,Capomulin,Female,1,24
1859,i557,5,42.3,0,Capomulin,Female,1,24
1860,i557,10,43.0,0,Capomulin,Female,1,24
1861,i557,15,43.5,0,Capomulin,Female,1,24
1862,i557,20,44.0,0,Capomulin,Female,1,24
1863,i557,25,44.6,0,Capomulin,Female,1,24
1864,i557,30,45.3,0,Capomulin,Female,1,24
1865,i557,35,45.9,0,Capomulin,Female,1,24
1866,i557,40,46.8,1,Capomulin,Female,1,24
1867,i557,45,47.7,1,Capomulin,Female,1,24
1868,m957,0,45.0,0,Capomulin,Female,3,19
1869,m957,5,45.6,1,Capomulin,Female,3,19
1870,m957,10,46.4,1,Capomulin,Female,3,19
1871,m957,15,39.8,1,Capomulin,Female,3,19
1872,m957,20,38.9,1,Capomulin,Female,3,19
1873,m957,25,37.7,1,Capomulin,Female,3,19
1874,m957,30,38.2,1,Capomulin,Female,3,19
1875,m957,35,32.6,1,Capomulin,Female,3,19
1876,m957,40,32.9,1,Capomulin,Female,3,19
1877,m957,45,33.3,1,Capomulin,Female,3,19
1878,f966,0,45.0,0,Capomulin,Male,16,17
1879,f966,5,38.8,0,Capomulin,Male,16,17
1880,f966,10,35.6,0,Capomulin,Male,16,17
1881,f966,15,32.6,0,Capomulin,Male,16,17
1882,f966,20,30.5,0,Capomulin,Male,16,17
1883,m601,0,45.0,0,Capomulin,Male,22,17
1884,m601,5,41.4,1,Capomulin,Male,22,17
1885,m601,10,36.8,1,Capomulin,Male,22,17
1886,m601,15,35.5,1,Capomulin,Male,22,17
1887,m601,20,34.3,1,Capomulin,Male,22,17
1888,m601,25,33.1,1,Capomulin,Male,22,17
1889,m601,30,31.8,1,Capomulin,Male,22,17
1890,m601,35,30.8,1,Capomulin,Male,22,17
1891,m601,40,31.4,1,Capomulin,Male,22,17
1892,m601,45,28.4,1,Capomulin,Male,22,17
